,country,indicator_name,geo,indicator,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Abkhazia,Child mortality (under age five),abkh,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,Child mortality (under age five),afg,u5mr,468.58,468.58,468.58,468.58,468.58,468.58,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,474.24,474.24,474.24,474.24,474.24,474.24,474.24,474.24,474.24,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,481.39,481.39,481.39,481.39,481.39,481.39,481.39,481.39,481.39,482.81,482.77,482.69,482.57,482.38,482.11,481.77,481.36,480.87,480.3,481.08,480.36,479.57,478.69,477.75,476.74,475.68,474.58,473.45,472.32,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,462.57,461.43,460.28,459.14,458.0,456.85,455.71,454.007,452.297,451.955,450.258,448.555,446.855,445.167,443.472,441.78,440.101,438.415,436.732,436.36,434.68,433.004,431.33,429.659,427.992,426.326,424.664,421.065,413.956,407.034,400.297,393.745,387.378,381.194,375.19,369.361,363.7,357.5,351.5,345.5,339.7,333.9,328.4,322.7,317.2,311.5,306.0,300.4,294.7,288.9,282.7,276.7,270.6,264.3,257.9,251.5,244.8,238.2,231.5,224.6,217.9,210.9,204.1,197.2,190.5,183.8,177.3,171.1,165.2,159.6,154.5,149.6,145.1,141.0,137.1,133.4,129.7,126.0,122.2,118.3,114.4,110.3,106.3,102.2,98.2,94.1,90.2,86.4,82.8,79.3,76.1,73.2,70.4,68.248,65.924,63.707,61.595
2,Akrotiri and Dhekelia,Child mortality (under age five),akr_a_dhe,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Albania,Child mortality (under age five),alb,u5mr,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.19,375.16,375.1,375.01,374.86,374.65,374.39,374.07,373.69,373.24,372.75,372.19,371.57,370.9,370.16,369.38,368.56,367.71,366.84,365.96,365.08,364.2,363.32,362.43,361.55,360.67,359.79,358.91,358.03,357.15,356.27,355.39,354.51,353.63,352.75,351.87,348.063,344.296,340.571,336.886,333.24,329.634,326.067,322.539,319.049,315.597,312.182,308.804,305.462,302.157,298.888,295.653,292.454,289.29,286.159,283.063,280.0,268.994,258.42,248.262,238.504,229.129,220.122,211.47,203.157,195.172,187.5,180.13,173.049,166.247,159.712,153.434,147.403,141.609,136.043,130.695,125.558,120.622,115.881,111.326,106.95,102.746,98.707,94.827,90.8,84.1,77.8,72.0,66.8,61.9,57.4,53.4,49.8,46.7,44.1,41.8,40.0,38.3,36.9,35.5,34.2,32.9,31.5,30.1,28.7,27.4,26.0,24.8,23.5,22.4,21.4,20.4,19.4,18.6,17.9,17.2,16.6,16.0,15.4,14.9,14.4,14.0,13.5,13.273,12.913,12.561,12.217
4,Algeria,Child mortality (under age five),dza,u5mr,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.19,460.16,460.09,459.97,459.79,459.53,459.21,458.81,458.35,457.81,457.19,456.51,455.75,454.93,454.03,453.07,452.06,451.01,449.95,448.87,447.79,446.71,445.63,444.55,443.47,442.39,441.31,440.23,439.15,438.07,433.04,429.39,425.75,420.84,417.23,412.44,408.92,403.765,397.428,392.424,386.276,380.185,373.019,367.114,361.265,355.5,349.818,344.2,341.863,339.532,337.21,323.838,310.991,298.648,286.789,275.396,264.451,262.405,258.285,254.117,249.9,248.9,247.6,246.6,245.7,245.2,244.8,244.7,245.0,245.8,246.6,247.6,248.1,248.0,246.6,244.4,240.8,235.7,229.2,221.6,213.0,203.8,194.1,183.9,172.9,161.2,148.1,133.3,117.4,101.3,86.2,73.7,64.4,57.9,53.5,50.8,49.0,47.6,46.5,45.5,44.4,43.3,42.3,41.5,40.8,40.3,39.7,38.9,37.8,36.5,35.1,33.5,32.1,30.7,29.4,28.3,27.3,26.6,26.1,25.8,25.6,25.5,25.2,23.896,23.096,22.29,21.483
5,American Samoa,Child mortality (under age five),asm,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Andorra,Child mortality (under age five),and,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,11.9,11.1,10.2,9.5,8.8,8.1,7.5,7.0,6.5,6.1,5.7,5.3,5.0,4.8,4.6,4.4,4.2,4.1,4.0,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3.0,2.9,2.8,2.7,,,,
7,Angola,Child mortality (under age five),ago,u5mr,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.67,485.63,485.55,485.43,485.24,484.97,484.63,484.21,483.72,483.15,482.5,481.78,480.98,480.11,479.16,478.15,477.08,475.98,474.85,473.71,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,461.18,460.04,458.9,457.76,456.62,455.48,454.34,448.98,443.642,438.325,433.029,427.754,422.501,417.269,412.058,406.868,401.7,394.219,386.816,379.501,371.133,364.019,357.007,350.071,342.179,335.413,328.779,327.845,325.91,323.834,321.62,319.263,316.765,314.121,311.329,308.381,305.273,301.999,298.564,294.981,291.275,287.473,283.606,279.707,275.807,271.936,268.086,264.232,260.366,256.519,252.748,249.152,245.839,242.883,240.323,238.167,236.4,233.6,230.5,227.8,225.4,223.9,222.6,221.8,221.3,221.2,221.4,222.1,222.8,223.5,223.7,223.4,222.0,219.7,216.5,212.2,207.0,200.9,193.9,185.7,177.0,167.2,157.5,147.6,137.9,128.3,119.4,111.0,103.5,96.8,91.2,86.5,82.5,83.1,81.638,80.154,78.578
8,Anguilla,Child mortality (under age five),aia,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Antigua and Barbuda,Child mortality (under age five),atg,u5mr,473.6,469.77,465.972,462.204,458.466,454.759,451.082,447.434,443.816,440.227,436.668,433.137,429.634,426.16,422.714,419.296,415.905,412.542,409.206,405.897,402.615,399.36,396.13,392.927,389.75,386.598,383.472,380.371,377.295,374.245,371.218,368.217,365.239,362.286,359.356,356.45,353.568,350.709,347.873,345.06,342.27,339.502,336.757,334.034,331.333,328.653,325.996,323.36,320.745,318.151,315.579,313.027,310.496,307.985,305.495,303.024,300.574,298.143,295.733,293.341,290.969,288.616,286.283,283.968,281.671,279.394,277.135,274.894,272.671,270.466,268.279,266.109,263.958,261.823,259.706,257.606,255.523,253.457,251.407,249.374,247.358,245.358,243.374,241.406,239.454,237.517,235.597,233.692,231.802,229.927,228.068,226.224,224.395,222.58,220.78,218.995,217.224,215.468,213.725,211.997,210.283,208.583,206.896,205.223,203.563,201.917,200.285,198.665,197.059,195.465,193.885,192.317,190.762,189.219,187.689,186.171,184.666,183.173,181.691,180.222,178.765,177.319,175.886,174.463,173.053,171.653,170.265,168.888,167.523,166.168,164.824,163.778,162.737,161.702,160.674,159.651,158.635,157.624,156.62,155.621,154.629,153.642,152.661,151.686,150.717,149.753,148.795,147.843,146.897,145.956,145.021,142.058,136.24,130.641,125.258,120.091,115.142,110.405,105.879,101.555,97.426,93.482,89.71,86.095,82.627,79.296,76.1,73.037,70.106,67.297,64.603,62.021,59.547,57.174,54.898,52.711,50.612,48.599,46.67,44.82,43.044,41.341,39.707,38.143,36.642,35.2,33.1,31.2,29.4,27.7,26.1,24.6,23.2,21.8,20.6,19.5,18.4,17.4,16.5,15.6,14.9,14.2,13.6,13.1,12.6,12.1,11.7,11.4,11.0,10.6,10.3,9.9,9.6,9.3,9.0,8.7,8.5,8.158,7.894,7.645,7.414
