,geo,indicator_name,indicator,country,income,region,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,afg,population,pop,Afghanistan,Low income,asia,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280779,3282342,3284692,3287834,3291770,3296506,3302044,3308390,3315547,3323519,3332311,3341926,3352368,3363642,3375751,3388701,3402494,3417136,3432630,3448982,3466194,3483492,3500877,3518348,3535906,3553552,3571286,3589109,3607021,3625022,3643112,3661294,3679565,3697928,3716383,3734930,3753569,3772301,3791127,3810047,3826140,3842299,3858524,3874815,3891173,3907598,3924089,3940648,3957274,3973968,3991172,4008889,4027125,4045883,4065170,4084989,4105346,4126245,4147692,4169690,4192245,4215362,4236341,4260730,4285744,4311388,4336107,4363439,4391478,4419695,4447479,4476050,4504802,4533190,4562304,4591602,4620608,4650274,4680128,4710171,4740404,4770828,4801444,4832253,4863258,4894458,4925855,4957450,4989245,5021241,5053439,5085403,5118005,5150814,5183829,5217053,5249854,5283495,5317347,5351413,5385509,5420004,5459010,5502589,5550805,5599440,5648497,5704092,5758692,5813814,5869464,5925647,5982368,6039631,6097443,6155808,6214731,6274219,6334276,6394908,6456120,6517918,6580308,6643295,6706885,6771083,6835896,6901330,6967389,7034081,7101412,7169387,7238012,7307295,7377241,7447856,7519147,7591120,7663783,7752118,7839510,7934980,8038596,8150447,8270581,8399030,8535807,8680946,8834445,8996351,9166764,9345868,9533954,9731361,9938414,10152331,10372630,10604346,10854428,11126123,11417825,11721940,12027822,12321541,12590286,12840299,13067538,13237734,13306695,13248370,13053954,12749645,12389269,12047115,11783050,11601041,11502761,11540888,11777609,12249114,12993657,13981231,15095099,16172719,17099541,17822884,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081,36373176,37209007,38054941
1,alb,population,pop,Albania,Upper middle income,europe,410445,411734,413026,414323,415624,416929,418237,419550,420868,422189,423591,424949,426340,427763,429220,430711,432235,433792,435384,437010,438671,440367,442097,443863,445665,447502,449375,451285,453231,455214,457234,459291,461357,463433,465518,467613,469716,471830,473953,476085,478227,480496,482893,485419,488078,490869,493796,496859,500062,503404,506889,510780,514821,519014,523361,527865,532526,537348,542333,547483,552800,558285,563821,569410,575051,580746,586494,592297,598154,604067,610036,616061,622143,628113,634308,640561,646873,653080,659507,665994,672545,679004,685682,692426,699096,705996,712988,719888,727055,734321,741690,749160,756735,764415,772202,780097,788036,795992,803964,811950,819951,827966,836031,844038,852043,860044,868121,876112,884339,892676,901124,909604,918312,925945,932486,937916,943378,948871,953764,958841,963958,969107,974278,979450,984276,989448,994619,1000135,1005306,1010478,1015994,1021510,1027026,1032197,1037713,1043229,1052538,1063225,1082532,1102527,1123213,1139416,1150104,1157688,1164928,1176994,1195267,1213883,1232845,1246636,1263174,1287497,1316089,1348099,1382878,1419970,1459089,1500149,1543222,1588484,1636056,1685900,1737644,1790534,1843593,1896125,1947785,1998693,2049151,2099653,2150598,2202035,2253844,2306003,2358463,2411229,2464336,2517872,2571850,2626286,2681239,2735329,2788314,2842624,2901592,2966798,3041007,3121336,3197067,3253656,3281454,3275431,3240587,3189583,3140595,3106736,3092228,3093041,3103759,3115576,3121970,3122408,3119029,3111005,3097747,3079179,3054331,3023907,2991651,2962635,2940525,2926659,2920039,2918978,2920775,2923352,2926348,2930187,2934363,2938428,2942034
2,dza,population,pop,Algeria,Upper middle income,africa,2503218,2512195,2521203,2530245,2539318,2548424,2557563,2566734,2575939,2585176,2595056,2604775,2614945,2625571,2636656,2648205,2660224,2672716,2685686,2699138,2713079,2727511,2742441,2757872,2773810,2790260,2807226,2824713,2842727,2861273,2880355,2899979,2919737,2939629,2959657,2979821,3000123,3020562,3041142,3061861,3082721,3103724,3124870,3146160,3167595,3189175,3210903,3232779,3254804,3276979,3299305,3322288,3345431,3368734,3392201,3415830,3439624,3463583,3487710,3512004,3536468,3561454,3586971,3613024,3639622,3666770,3694476,3722748,3751592,3781016,3811028,3841635,3872845,3902099,3934634,3967833,4001706,4034621,4070192,4106516,4143163,4179287,4216584,4254213,4291414,4329711,4368350,4406661,4445986,4485662,4525691,4566078,4606825,4647936,4689414,4731261,4773482,4816080,4859057,4902418,4946166,4990304,5034196,5079119,5124443,5170172,5216308,5261920,5308875,5356248,5404045,5451990,5500641,5556904,5620940,5692913,5765808,5839635,5913223,5988038,6063800,6140520,6218211,6296885,6376554,6457232,6538930,6621661,6705440,6790278,6876190,6963188,7051288,7140502,7230845,7322331,7414974,7508790,7603792,7699997,7797418,7896073,7995975,8097142,8199588,8303331,8408386,8514770,8622500,8731594,8872247,9039910,9216397,9405443,9609505,9829719,10065822,10316288,10578449,10848973,11124888,11404859,11690153,11985136,12295970,12626952,12980267,13354197,13744387,14144438,14550034,14960109,15377093,15804428,16247113,16709099,17190239,17690184,18212326,18760761,19337715,19943664,20575701,21228289,21893853,22565905,23241272,23917897,24591492,25257672,25912367,26554329,27181094,27786259,28362253,28904298,29411415,29886839,30335732,30765613,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142,42008054,42679018,43333255
3,and,population,pop,Andorra,High income,europe,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2655,2656,2659,2662,2667,2672,2677,2684,2692,2700,2710,2720,2731,2743,2756,2770,2785,2801,2817,2835,2854,2872,2891,2910,2929,2948,2968,2987,3007,3026,3046,3066,3086,3106,3127,3147,3168,3188,3209,3230,3250,3270,3290,3311,3331,3352,3373,3393,3414,3435,3457,3478,3500,3521,3543,3565,3587,3609,3631,3654,3676,3699,3721,3744,3768,3791,3814,3837,3861,3885,3908,3933,3957,3981,4005,4030,4055,4080,4105,4130,4156,4182,4207,4233,4260,4286,4312,4339,4366,4393,4420,4447,4474,4502,4530,4558,4585,4614,4642,4671,4699,4728,4758,4787,4817,4846,4876,4909,4941,4973,5006,5038,5071,5105,5138,5172,5206,5240,5274,5308,5343,5378,5413,5449,5484,5520,5556,5593,5629,5666,5703,5741,5778,5816,5854,5892,5931,5970,6009,6196,6689,7247,7865,8525,9232,9989,10779,11615,12498,13411,14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014,77281,76965,76953,77072,77184
4,ago,population,pop,Angola,Lower middle income,africa,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567571,1568660,1570299,1572493,1575246,1578561,1582443,1586896,1591923,1597530,1603720,1610497,1617867,1625833,1634399,1643570,1653350,1663744,1674756,1686390,1698652,1711003,1723444,1735975,1748598,1761312,1774118,1787018,1800012,1813100,1826283,1839562,1852937,1866410,1879981,1893650,1907419,1921288,1935258,1949329,1966272,1983358,2000589,2017966,2035489,2053161,2070982,2088953,2107076,2125353,2143784,2162370,2181114,2200016,2219077,2238299,2257683,2277231,2296944,2316823,2336870,2357086,2377056,2397611,2418338,2439241,2459932,2481185,2502616,2524229,2545667,2567641,2589801,2611827,2634358,2657079,2679710,2702812,2726109,2749602,2773292,2797181,2821271,2845563,2870060,2894762,2919672,2944791,2970120,2995663,3021420,3047127,3073315,3099724,3126354,3153208,3179897,3207199,3234731,3262493,3290373,3318601,3347066,3375770,3404714,3433900,3463331,3487015,3512369,3537908,3563632,3589544,3615643,3641933,3668414,3695087,3721954,3749017,3776276,3803733,3831391,3859249,3887310,3915574,3944045,3972722,4001608,4030704,4060011,4093865,4132344,4175527,4219161,4263251,4307801,4352818,4398304,4444266,4490709,4548023,4659333,4774561,4890469,5004763,5116071,5224003,5329099,5432717,5536779,5643182,5753024,5866061,5980417,6093321,6203299,6309770,6414995,6523791,6642632,6776381,6927269,7094834,7277960,7474338,7682479,7900997,8130988,8376147,8641521,8929900,9244507,9582156,9931562,10277321,10609042,10921037,11218268,11513968,11827237,12171441,12553446,12968345,13403734,13841301,14268994,14682284,15088981,15504318,15949766,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193,30774205,31787566,32827401
5,atg,population,pop,Antigua and Barbuda,High income,americas,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,36996,36983,36960,36927,36885,36833,36772,36701,36621,36532,36433,36335,36236,36138,36039,35940,35842,35743,35645,35546,35448,35359,35223,35167,35132,35119,35059,35090,35145,35223,35263,35365,35481,35569,35719,35853,36027,36149,36236,36287,36302,36280,36222,36129,35999,35833,35620,35398,35167,34926,34677,34444,34173,33891,33598,33296,32989,32692,32397,32121,31840,31605,31399,31194,30990,30788,30587,30391,30196,30002,30007,30214,30623,31038,31459,31885,32317,32755,33199,33649,34105,34567,35035,35510,35991,36479,36973,37474,37982,38496,39018,39547,40082,40626,41176,41889,42769,43825,44906,46303,48365,49999,51262,52208,52897,53420,53838,54241,54722,55339,56144,57144,58294,59524,60781,62059,63360,64655,65910,67098,68188,69176,70066,70878,71609,72285,72875,73324,73528,73442,73066,72448,71639,70725,69782,68809,67845,67058,66627,66696,67307,68427,69938,71719,73619,75628,77739,79851,81831,83584,85057,86266,87293,88257,89253,90301,91381,92478,93581,94661,95719,96777,97824,98875,99923,100963,102012,103050,104084,105110
6,arg,population,pop,Argentina,Upper middle income,americas,534000,534000,534000,534000,534000,534000,534000,534000,534000,534000,534000,534620,535875,537781,540353,543608,547562,552232,557637,563793,570719,578434,586958,596309,606508,617575,629533,642402,656204,670964,686703,703446,720597,738166,756163,774600,793486,812832,832650,852951,873747,895073,916943,939369,962367,985950,1010134,1034934,1060366,1086445,1113189,1140633,1168776,1197636,1227232,1257582,1288705,1320621,1353351,1386914,1421333,1457248,1494694,1533731,1574418,1616818,1660998,1707023,1754964,1804894,1856886,1911020,1967375,2017127,2078055,2141528,2207644,2268568,2340590,2415669,2493156,2566334,2648654,2733615,2814774,2905434,2999385,3089624,3190089,3294260,3402273,3514267,3630387,3750784,3875613,4005036,4141299,4284294,4434314,4591641,4756635,4929644,5094954,5285563,5485838,5696234,5914645,6121229,6355959,6599705,6852669,7108577,7381312,7644045,7878423,8069762,8233077,8382047,8530833,8693347,8884894,9117153,9399467,9720491,10050859,10366210,10670216,10978559,11292242,11602921,11898250,12168551,12411154,12633735,12847974,13060544,13279454,13506374,13747976,13974562,14200814,14419057,14655320,14898257,15149203,15408492,15679460,15985468,16346870,16750098,17150336,17507130,17866096,18224150,18579037,18929346,19274528,19614847,19951323,20285531,20619075,20953077,21287682,21621840,21953929,22283390,22608748,22932203,23261278,23605987,23973058,24366439,24782949,25213388,25644506,26066975,26477152,26878565,27277741,27684534,28105888,28543364,28993987,29454738,29920904,30388783,30857244,31326473,31795517,32263561,32729739,33193918,33655151,34110917,34558115,34994814,35419682,35833969,36241590,36648068,37057452,37471509,37889370,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430,44271041,44688864,45101781,45510399
7,arm,population,pop,Armenia,Lower middle income,europe,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413506,413869,414415,415147,416066,417173,418471,419962,421646,423527,425605,427883,430361,433043,435930,439024,442327,445840,449566,453507,457664,461859,466093,470365,474677,479028,483419,487850,492322,496835,501389,505985,510623,515304,520027,524794,529605,534459,539358,544302,549257,554257,559302,564393,569531,574715,579947,585226,590553,595928,601353,606827,612351,617925,623550,629226,634953,640733,646565,652451,658390,664383,670245,676346,682502,688715,694811,701135,707517,713958,720297,726853,733470,740002,746738,753536,760268,767189,774172,781219,788330,795506,802747,810054,817428,824868,832377,839954,847599,855315,863100,870836,878763,886762,894834,902979,911021,919314,927682,936126,944595,953193,961869,970625,979460,988376,997372,1006536,1015762,1025073,1034470,1043952,1053521,1063179,1072924,1082759,1092684,1102700,1112808,1123009,1133303,1143691,1154175,1164755,1175431,1186206,1197079,1208052,1219126,1230301,1241579,1252960,1264445,1276035,1287732,1299536,1311448,1323470,1335601,1353510,1381872,1418276,1461424,1510171,1563505,1620593,1680714,1743303,1807917,1874120,1941491,2009526,2077575,2144998,2211316,2276031,2339124,2401140,2462925,2525065,2587706,2650484,2712781,2773747,2832757,2889579,2944379,2997411,3049105,3099751,3148092,3193686,3238594,3285595,3335935,3392256,3451942,3504651,3536469,3538165,3505251,3442810,3363098,3283660,3217342,3168215,3133086,3108684,3089017,3069588,3050655,3033897,3017806,3000612,2981259,2958500,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816,2930450,2934152,2936706,2938679
8,aus,population,pop,Australia,High income,asia,351014,350143,349274,348408,347543,346681,345821,344963,344107,343253,342440,341487,340480,339515,338733,338041,337247,336398,335495,334633,334002,333554,333385,333780,334453,335357,336730,338428,340881,344087,348143,353571,359952,366762,374048,381762,389952,398905,408905,420810,434095,448667,466619,488381,514000,543952,577619,615190,656238,698667,742619,786732,831228,877298,926037,977302,1030426,1084839,1141160,1198912,1256048,1307041,1358799,1409274,1458226,1505275,1550374,1594712,1637908,1680440,1724213,1769178,1816956,1860078,1910253,1962852,2017719,2058146,2116524,2178966,2253007,2320568,2400679,2482996,2562980,2650339,2738702,2830380,2920158,3006483,3088808,3168315,3245279,3318788,3387933,3453440,3516129,3575727,3632416,3688197,3743707,3798583,3851995,3906036,3962416,4022248,4086866,4138959,4213351,4301164,4408208,4518260,4667239,4811885,4915478,4960323,4966110,4986587,5066003,5202210,5345426,5472619,5585790,5705305,5828491,5951010,6074196,6194712,6305547,6399355,6473801,6534894,6588976,6640721,6691798,6742542,6795622,6853042,6915804,6982906,7052010,7119446,7184210,7250310,7322420,7401873,7491676,7600507,7749066,7949150,8177342,8412604,8620970,8816902,9011190,9210908,9419268,9635828,9856949,10076741,10289707,10493555,10691689,10894270,11115211,11363313,11643451,11949357,12265087,12568300,12842907,13084157,13296872,13486438,13662048,13831206,13994623,14152065,14309298,14473242,14649114,14838494,15041065,15257358,15487214,15729643,15986164,16254935,16527430,16792294,17041431,17271874,17485948,17687479,17882737,18076743,18271685,18467588,18665045,18864112,19065837,19268533,19475191,19696972,19948429,20238903,20573606,20946664,21342493,21739040,22120064,22479799,22821849,23150729,23474668,23799556,24125848,24450561,24772247,25088636,25398177
9,aut,population,pop,Austria,High income,europe,3205587,3213566,3221565,3229584,3237623,3245682,3253761,3261860,3269979,3278118,3286650,3295241,3304214,3313616,3323445,3333654,3344288,3355347,3366878,3378831,3391206,3404003,3417266,3430949,3445098,3459711,3473360,3488900,3504901,3521364,3538286,3555905,3573810,3592048,3610571,3629381,3648571,3668048,3687857,3707952,3728381,3749333,3770810,3792810,3815333,3838381,3861905,3887429,3912000,3937048,3962619,3988664,4014995,4041611,4068514,4095749,4123270,4151077,4179217,4207643,4235926,4265066,4294872,4325346,4356438,4388197,4420574,4453667,4487330,4521660,4556657,4592368,4628888,4662827,4700982,4739978,4779816,4818153,4860091,4903440,4947024,4989969,5033965,5078228,5122044,5167348,5213882,5259514,5307964,5357687,5408500,5460586,5513854,5568304,5623935,5680748,5739016,5798374,5858368,5918817,5979721,6041260,6101911,6164683,6228010,6292115,6356442,6420769,6485163,6547557,6608150,6668744,6719738,6765398,6805059,6824387,6817383,6778714,6643721,6533726,6459395,6495394,6524726,6544058,6562058,6582057,6602389,6622722,6643054,6663387,6684053,6704385,6725051,6743383,6755383,6759383,6757716,6755050,6720051,6703385,6700719,6744050,6778382,6808047,6813381,6877378,6923043,6975374,6956374,6944857,6936439,6931338,6931196,6935142,6942619,6953406,6967625,6985724,7008424,7036550,7070766,7111142,7156833,7205994,7256091,7305158,7352240,7397171,7439579,7479346,7516239,7550340,7581117,7607065,7626290,7637689,7640749,7636576,7627759,7617884,7609752,7604513,7602181,7603102,7607293,7614868,7625393,7639352,7658840,7686572,7723949,7772701,7830933,7892086,7947209,7990121,8017863,8032876,8041050,8051113,8069276,8097748,8134412,8175852,8216805,8253650,8284735,8311783,8338453,8370038,8409949,8459864,8517548,8577782,8633220,8678657,8712137,8735453,8751820,8766201,8782210
